OGID	esc,pips1,mef48,mef
OG213_0	1700082M22Rik,1700082M22Rik_pips1,1700082M22Rik_mef48,1700082M22Rik_mef
OG214_0	1700084E18Rik,1700084E18Rik_pips1,1700084E18Rik_mef48,1700084E18Rik_mef
OG215_0	1700086O06Rik,1700086O06Rik_pips1,1700086O06Rik_mef48,1700086O06Rik_mef
OG216_0	1700086P04Rik,1700086P04Rik_pips1,1700086P04Rik_mef48,1700086P04Rik_mef
OG217_0	1700088E04Rik,1700088E04Rik_pips1,1700088E04Rik_mef48,1700088E04Rik_mef
OG218_0	1700092M07Rik,1700092M07Rik_pips1,1700092M07Rik_mef48,1700092M07Rik_mef
OG219_0	1700094D03Rik,1700094D03Rik_pips1,1700094D03Rik_mef48,1700094D03Rik_mef
OG220_0	1700101E01Rik,1700101E01Rik_pips1,1700101E01Rik_mef48,1700101E01Rik_mef
OG221_0	1700102P08Rik,1700102P08Rik_pips1,1700102P08Rik_mef48,1700102P08Rik_mef
OG222_0	1700106N22Rik,1700106N22Rik_pips1,1700106N22Rik_mef48,1700106N22Rik_mef
OG223_0	1700109F18Rik,1700109F18Rik_pips1,1700109F18Rik_mef48,1700109F18Rik_mef
OG224_0	1700109H08Rik,1700109H08Rik_pips1,1700109H08Rik_mef48,1700109H08Rik_mef
OG225_0	1700109K24Rik,1700109K24Rik_pips1,1700109K24Rik_mef48,1700109K24Rik_mef
OG226_0	1700110I01Rik,1700110I01Rik_pips1,1700110I01Rik_mef48,1700110I01Rik_mef
OG227_0	1700112J16Rik,1700112J16Rik_pips1,1700112J16Rik_mef48,1700112J16Rik_mef
OG228_0	1700113A16Rik,1700113A16Rik_pips1,1700113A16Rik_mef48,1700113A16Rik_mef
OG229_0	1700120B22Rik,1700120B22Rik_pips1,1700120B22Rik_mef48,1700120B22Rik_mef
OG230_0	1700121F15Rik,1700121F15Rik_pips1,1700121F15Rik_mef48,1700121F15Rik_mef
OG231_0	1700123I01Rik,1700123I01Rik_pips1,1700123I01Rik_mef48,1700123I01Rik_mef
OG232_0	1700123M08Rik,1700123M08Rik_pips1,1700123M08Rik_mef48,1700123M08Rik_mef
OG233_0	1700123O20Rik,1700123O20Rik_pips1,1700123O20Rik_mef48,1700123O20Rik_mef
OG234_0	1700125H03Rik,1700125H03Rik_pips1,1700125H03Rik_mef48,1700125H03Rik_mef
OG235_0	1810006K21Rik,1810006K21Rik_pips1,1810006K21Rik_mef48,1810006K21Rik_mef
OG236_0	1810008A18Rik,1810008A18Rik_pips1,1810008A18Rik_mef48,1810008A18Rik_mef
OG237_0	1810009A15Rik,1810009A15Rik_pips1,1810009A15Rik_mef48,1810009A15Rik_mef
OG238_0	1810010H24Rik,1810010H24Rik_pips1,1810010H24Rik_mef48,1810010H24Rik_mef
OG239_0	1810011H11Rik,1810011H11Rik_pips1,1810011H11Rik_mef48,1810011H11Rik_mef
OG240_0	1810011O10Rik,1810011O10Rik_pips1,1810011O10Rik_mef48,1810011O10Rik_mef
OG241_0	1810012K08Rik,1810012K08Rik_pips1,1810012K08Rik_mef48,1810012K08Rik_mef
OG242_0	1810012P15Rik,1810012P15Rik_pips1,1810012P15Rik_mef48,1810012P15Rik_mef
OG243_0	1810013D10Rik,1810013D10Rik_pips1,1810013D10Rik_mef48,1810013D10Rik_mef
OG244_0	1810013L24Rik,1810013L24Rik_pips1,1810013L24Rik_mef48,1810013L24Rik_mef
OG245_0	1810014B01Rik,1810014B01Rik_pips1,1810014B01Rik_mef48,1810014B01Rik_mef
OG246_0	1810014F10Rik,1810014F10Rik_pips1,1810014F10Rik_mef48,1810014F10Rik_mef
OG247_0	1810019D21Rik,1810019D21Rik_pips1,1810019D21Rik_mef48,1810019D21Rik_mef
OG248_0	1810019J16Rik,1810019J16Rik_pips1,1810019J16Rik_mef48,1810019J16Rik_mef
OG249_0	1810020D17Rik,1810020D17Rik_pips1,1810020D17Rik_mef48,1810020D17Rik_mef
OG250_0	1810021B22Rik,1810021B22Rik_pips1,1810021B22Rik_mef48,1810021B22Rik_mef
OG251_0	1810022K09Rik,1810022K09Rik_pips1,1810022K09Rik_mef48,1810022K09Rik_mef
OG252_0	1810024B03Rik,1810024B03Rik_pips1,1810024B03Rik_mef48,1810024B03Rik_mef
OG253_0	1810026J23Rik,1810026J23Rik_pips1,1810026J23Rik_mef48,1810026J23Rik_mef
OG254_0	1810027O10Rik,1810027O10Rik_pips1,1810027O10Rik_mef48,1810027O10Rik_mef
OG255_0	1810029B16Rik,1810029B16Rik_pips1,1810029B16Rik_mef48,1810029B16Rik_mef
OG256_0	1810030N24Rik,1810030N24Rik_pips1,1810030N24Rik_mef48,1810030N24Rik_mef
OG257_0	1810030O07Rik,1810030O07Rik_pips1,1810030O07Rik_mef48,1810030O07Rik_mef
OG258_0	1810031K17Rik,1810031K17Rik_pips1,1810031K17Rik_mef48,1810031K17Rik_mef
OG259_0	1810032O08Rik,1810032O08Rik_pips1,1810032O08Rik_mef48,1810032O08Rik_mef
OG260_0	1810034E14Rik,1810034E14Rik_pips1,1810034E14Rik_mef48,1810034E14Rik_mef
OG261_0	1810035L17Rik,1810035L17Rik_pips1,1810035L17Rik_mef48,1810035L17Rik_mef
